Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Triphasia trifolia,Limeberry,3194,https://www.nparks.gov.sg/florafaunaweb/flora/3/1/3194,"Shrub, Tree","Full Sun, Semi Shade",Moderate Water,False,False,False,True,3.0,White,Spines/Thorns - Stem/Branch,Bird-Attracting,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,Coarse
Triplaris cumingiana Fisch. & C.A.Mey.,Ant Tree,4806,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4806,Tree,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,-,-,-,-,Moderate,-,-,None
Tristaniopsis laurina,Kanuka Box,3195,https://www.nparks.gov.sg/florafaunaweb/flora/3/1/3195,Tree,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Tristaniopsis merguensis (Griff.) Peter G.Wilson & J.T.Waterh.,Hill Tristania,3404,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3404,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,30.0,Cream / Off-White,-,-,Terrestrial,Green,-,-,Moderate,-,-,None
Tristaniopsis obovata (Benn.) Peter G.Wilson & J.T.Waterh.,Sea Tristania,3236,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3236,Tree,Full Sun,Moderate Water,False,True,False,False,45.0,White,-,-,"Terrestrial, Shoreline",Green,Orange,-,Moderate,-,-,None
Tristaniopsis pontianensis (M.R.Hend.) Peter G.Wilson & J.T.Waterh.,-,6723,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6723,Tree,Full Sun,Moderate Water,False,False,False,False,27,-,-,-,Terrestrial,Green,-,-,Moderate,-,-,None
Tristaniopsis whiteana (Griff.) Peter G.Wilson & J.T.Waterh.,River Tristania,3196,https://www.nparks.gov.sg/florafaunaweb/flora/3/1/3196,Tree,Full Sun,Moderate Water,False,True,False,False,24.0,White,-,-,"Terrestrial (Primary Rainforest, Secondary Rainforest, Coastal Forest, Riverine)",Green,Orange,3.0 (Tree - Intermediate Canopy),Moderate,-,orange,None
Tristellateia australasiae A.Rich.,Maiden's Jealousy,1525,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1525,Climber,Full Sun,Moderate Water,False,True,False,False,10.0,Yellow / Golden,-,"Butterfly-Attracting, Bird-Attracting","Terrestrial (Coastal Forest), Shoreline (Mangrove Forest)",Green,-,-,Fast,None,None,Medium
Trophis scandens,Burney Vine,1526,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1526,"Climber, Shrub",Full Sun,Moderate Water,False,False,True,False,0.5,-,-,-,Terrestrial,Green,-,-,-,None,None,Medium
Tulbaghia violacea,Wild Garlic,2532,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2532,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,True,-,Purple,-,-,-,Green,-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Fine
